('B2F171420', '另眼看世界--光谱成像漫谈', 'Spectral Imaging: Another way to look at the world', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98D85D36AB6638C8E0506F0A20036B33', '17', '1.0')
('B2G110240', '合唱与指挥', 'Chorus and Conducting', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97889E231BB68788E0506F0A20030861', '11', '1.0')
('B2G260110', '中外现代设计鉴赏', 'Appreciation of International Design', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98A40BFE9FBDA18CE0506F0A20036333', '26', '1.0')
('B2G140190', '数学建模语言与实践', 'Mathematical Modeling Language and Practices', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B0426D976607EC1FE050007F01002F06', '14', '2.0')
('50G40260', '数字图像处理及应用', 'Digital Image Processing and Applications', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40260', '50', '1.5')
('B2F291210', '西方文明文化史', 'The History of Western Civilization and Culture', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9673DBCB1E1B60E5E0506F0A200359B6', '29', '2.0')
('B2F490310', '自旋电子科技前沿', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F490310', '49', '1.0')
('B2F080170', '人身保险', 'personal insurance', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F080170', '08', '1.5')
('50G40240', '贝叶斯与信息推断', 'Bayesian Theory and Information Inference', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40240', '50', '1.5')
('B2G010130', '清洁生产与可持续发展', 'Cleanliness Production and Sustainable Development', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G010130', '01', '1.0')
('B2F110340', '舞蹈艺术表演实践', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=975B6B42D3965EDCE0506F0A20032392', '11', '2.0')
('B2F110380', '歌剧欣赏', 'Appreciation of Opera', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F110380', '11', '2.0')
('B2G130240', '大学生建筑结构设计竞赛', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G130240', '13', '3.0')
('B2F290330', '传播学概论', 'Introduction to Communication Theories', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290330', '29', '2.0')
('50G12530', '翻译导论', 'On Translation', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G12530', '50', '1.5')
('B2G120240', '俄语科技翻译(1)', 'Russian science and technology translation(1)', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B3D422E56A738750E050007F010074DE', '12', '2.0')
('B2F020550', '电子信息商业案例分析', 'Electronic Information-Business Case Analysis', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9697018135DECABEE0506F0A200308BC', '02', '2.0')
('B2F270120', '仿生材料化学', 'Biomimetic Chemistry', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F270120', '27', '2.0')
('B2F080160', '证券投资学原理与应用', 'Investment Principles and Applications', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=961B9667DE90EEA7E0506F0A200306DD', '08', '2.0')
('50G40290', '大学日语（提高）', 'College Japanese（advanced）', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40290', '50', '1.5')
('B2F140190', '复杂网络理论及应用', 'Complex Network Theory and Application', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96A34E9A85C0982EE0506F0A20031BEE', '14', '1.0')
('B2F030150', '电机驱动与机器人', 'Motor Driving and Robots', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F030150', '03', '1.0')
('B2F120130', '英语批判阅读与写作', 'Critical Reading and Writing in English', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F120130', '12', '2.0')
('B2G060130', '计算机网络安全技术', 'Computer Network Security', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G060130', '06', '1.5')
('B2G100230', '创新医疗器械产业化导论', 'Introduction to Commercialization of Innovative Medical Device', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A6EF62C3380946BAE050007F01003DB6', '10', '2.0')
('B2F140220', '质量文化与技术素养', '质量文化与技术素养', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9525C6D32AFBA63EE0506F0A20036AF0', '14', '2.0')
('B2G070220', '产品创新设计方法导论', 'Introduction to product innovation design method', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G070220', '07', '1.0')
('B2G100120', '生命科学导论', 'Introduction to Life Science', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=970911876CD975FCE0506F0A20037463', '10', '1.0')
('50G40280', '古希腊神话', 'Greek Mythology', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40280', '50', '1.5')
('B2F100110', '医工交叉研究与技术创新方法', 'Medical Engineering Interdiscipline and Technology Innovation', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F100110', '10', '1.0')
('B2F241030', '工业系统中的科学技术与实践二：机械机构建模', 'Science and Technology in industrial System: Mechanical Modeling', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F241030', '24', '1.0')
('B2F290320', '联邦党人文集与美国立宪辨析', 'The Federalist Papers and Analysis of American Constitutionalism', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290320', '29', '2.0')
('B2F050160', '湍流起源', 'Origin of Turbulence', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F050160', '05', '1.0')
('B2G100170', '动物行为与伦理', 'Animal Behaviour and Ethics', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97E5220DCC743719E0506F0A200365AB', '10', '1.0')
('B2F140110', '失败的逻辑——你为什么失败', 'The Logic of Failure', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96BFB208A76BAFA2E0506F0A200335AE', '14', '2.0')
('B2G280351', 'Understand Politics in China: A State-Society Perspective Introduction', 'Understand Politics in China: A State-Society Perspective Introduction', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A71250E10BFE55F5E050007F01006E57', '28', '1.0')
('B2F171430', '光电子技术基础', 'Fundamentals  Photonics  Technology', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B3674E9A17075803E050007F010012D3', '17', '1.0')
('50G40250', '谈“美”', 'On Beauty', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40250', '50', '1.5')
('B2F140271', '动作分析、实践与应用', 'Movement Analysis, Practice and Applications', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=BD2A079E85D099ECE050007F01001E17', '14', '2.0')
('B2G060370', '数字媒体技术及智能应用导论', 'Introduction to Digital Media technology and Intelligent Application', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=95B3306825580C03E0506F0A2003636C', '06', '1.0')
('B2G260200', '动画基础', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96B74F074BD1F0D7E0506F0A200360F5', '26', '1.0')
('B2G170820', '纳米科学技术导论', 'Introduction to nanometer science and technology', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=BE4865918AAA71B7E050007F01006B0D', '17', '1.0')
('B2F110220', '廉洁领导与管理', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=968F46D98DDAA9BDE0506F0A2003494C', '11', '2.0')
('B2F260120', '中国美术史', 'Chinese Art History', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F260120', '26', '2.0')
('50G12510', '英汉语言文化对比与翻译', 'Contrast and Translation of English and Chinese Languages and Cultures', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G12510', '50', '1.5')
('B2G080180', '职业生涯规划', '职业生涯规划', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=99661A346A6A0D94E0506F0A20031385', '08', '1.0')
('B2G110140', '形式逻辑', 'Formal Logic', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9710EF72DB4127EBE0506F0A2003296A', '11', '1.0')
('B2G060380', '虚拟现实技术实验室课堂', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B2B5BA53B1DFCE20E050007F01006A72', '06', '1.0')
('B2G120411', '英语演讲名篇赏析', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G120411', '12', '2.0')
('B2F290140', '亚当·斯密与《国富论》', 'Adam Smith and Wealth of Nations', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290140', '29', '2.0')
('B2F080110', '经济管理', 'Economics and Management', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=997737817B12CBC4E0506F0A20034811', '08', '2.0')
('B2G060240', 'CUDA编程与应用', 'CUDA Programming and its Application', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G060240', '06', '1.0')
('B2G110370', '多元文化交流', 'Multicultural communication', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9710EFBC60FAA563E0506F0A2003294C', '11', '2.0')
('B2G070260', '机器人创新设计与竞赛', 'Robot innovative design and competition', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G070260', '07', '1.0')
('B2F260140', '电影与新媒体艺术', 'Creative Thinking and Art Composition', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F260140', '26', '2.0')
('B2G030160', 'DSP原理及应用', 'The principle and application of DSP', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98B433F462456FE2E0506F0A20031163', '03', '2.0')
('B2F210120', '走进软件', 'Introduction to Software', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96A34E9A67C6840DE0506F0A20031BEC', '21', '1.5')
('B2F290010', '世界文明中的科学与技术', 'Science and Technology in World Civilizations', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=966766B4EA839286E0506F0A20034700', '29', '2.0')
('B2F260160', '摄影艺术鉴赏与基础', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F260160', '26', '1.0')
('B2G120250', '俄语科技翻译(2)', 'Russian science and technology translation(2)', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B3E267B6C18BBA73E050007F0100429E', '12', '2.0')
('50G40200', '法学原理', 'principle of law', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=BBBC283AC82386D8E050007F01005DD9', '50', '1.5')
('B2G150130', '天文基础与航天', 'Fundamental Astronomy and Space Technology', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G150130', '15', '1.0')
('B2G110170', '中外经济发展研究专题', 'Topic Seminar on China and World Economic History', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=969274656C750AD6E0506F0A2003199A', '11', '1.0')
('B2F050310', '飞机系统概论', 'Introduction of Aircraft System', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F050310', '05', '2.0')
('B2F120210', '语义学', 'Semantics', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F120210', '12', '2.0')
('B2F390110', '网络空间安全导论', 'Introduction to Cyper space Security', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9693ABA3B731F4C1E0506F0A20033650', '39', '1.5')
('B2G280120', '生命教育', 'Life Education', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B3077C67263C3D4EE050007F01002F9E', '28', '1.0')
('B2G170430', '走近传感器', 'Approaching sensor', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A724795117B48D3CE050007F01001D40', '17', '1.0')
('B2G140170', '系统科学概论', 'Introduction to Systems Science', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G140170', '14', '2.0')
('B2G270170', '生态文明与美丽中国', 'Ecological Civilization and Beautiful China', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98B45ED5BC3B679DE0506F0A2003115F', '27', '2.0')
('B2G140140', '物联网安全导论', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96A34E9A8468982EE0506F0A20031BEE', '14', '1.0')
('B2G170360', '信息显示技术', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98C29F574D3801FAE0506F0A20030CD6', '17', '2.0')
('B2F110190', '美学基础', 'Aesthetics', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=968F740150167EC9E0506F0A20034954', '11', '2.0')
('B2F200140', '法学原理', 'Principles of Law', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=987840AD129F70B2E0506F0A20033E3C', '20', '2.0')
('B2F030250', '无人系统仿生视觉自主控制', 'Unmanned Systems Biological Vision Autonomous Control', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F030250', '03', '1.0')
('B2G120281', '英语学术论文及学术文本写作', 'Reaearch Paper Writing and Academic Communication', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G120281', '12', '2.0')
('B2F241020', '工业系统中的科学技术与实践一：智能机器人', 'Science and Technology in industrial System: Intelligent Robotics', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F241020', '24', '1.0')
('50G40330', '空天探测导论', 'Introduction to Space Exploration', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40330', '17', '1.5')
('B2G030350', '智能算法设计与应用', 'Intelligent Algorithm Analysis and Design', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G030350', '03', '1.5')
('B2F420120', '人工智能概论', 'Introduction of Artificail Intelligence', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B10C4D9B035492CCE050007F01002498', '42', '2.0')
('B2F171320', '空间光电及量子光学', 'Space Optoelectronics and Quantum Optics', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=99919FCF20D1951AE0506F0A200305F9', '17', '1.0')
('B2G020280', '当人工智能走进通信网络', 'When Communication Networks Meet AI', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A72E2B608AE5B7ADE050007F010050C9', '02', '1.0')
('B2G270110', '易学入门', 'Introduction to YiJing', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=993C1B8502DB5B4AE0506F0A200317B8', '27', '1.0')
('B2F110110', '大学语文', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=960452E0E2E5E4ADE0506F0A20033FEE', '11', '2.0')
('B2G170420', '量子物理史话', 'Quantum Physics History', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A70743D35798A69BE050007F0100203B', '17', '2.0')
('B2F230110', '大学语文', 'College Chinese Language & Literature', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B80EE30D8A59779AE050007F010067F8', 23, '1.0')
('B2F290120', '《诗经》选读', 'Introduction of The Book of Songs', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290120', '29', '2.0')
('B2F170210', '仪器科学概览', 'Overview of Instrument Science', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A6836E8AB62D5EA0E050007F01001D1F', '17', '1.5')
('B2F050220', '近代流体测试技术', 'Modern Experimental Measurement Techniques in Fluid Mechanics', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F050220', '05', '2.0')
('B2F120170', '文学与人生', 'Literature and Life', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F120170', '12', '2.0')
('B2G170361', 'Fiber Optics', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B71824929BDAAF58E050007F010043A3', '17', '2.0')
('B2G200210', '影像中的环境与法律', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=984E694691959251E0506F0A20031ADF', '20', '2.0')
('B2G080140', '电子商务概论', '电子商务概论', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B2380A0B28D28DD8E050007F01001230', '08', '1.0')
('B2F290350', '科技哲学经典问题', 'Classical Questions in Philosophy of Science and Technology', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290350', '29', '2.0')
('B2G060110', '计算机网络', 'Computer Networks', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9614EA507DBB6D25E0506F0A2003721F', '06', '1.5')
('B2F422110', '科学研讨与实践课（1）', 'Seminar or Practice（1）', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=C47D7295C643D83AE050007F01004D8D', '42', '0.5')
('B2D280110', '中国共产党历史', 'The history of the Chinese Communist Party ', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=C96B96E4E051DD49E050007F010048DD', '28', '1.0')
('B2F280120', '老庄哲学与人生智慧', 'Daoist Philosophy and the Wisdom of Life', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=975B67DCA2F12D0FE0506F0A2003236E', '28', '2.0')
('B2F090140', '凸优化', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F090140', '09', '3.0')
('B2G050190', '私用飞机驾驶员执照理论基础', 'Theoretical Basis of Private Pilot License', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G050190', '05', '2.0')
('B2G010410', '事故调查与失效分析技术实验室课堂', '事故调查与失效分析技术实验室课堂', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B251EC79BBD30EFCE050007F01006B37', '01', '1.0')
('B2G120230', '俄语二外（2） ', 'Russian(Second Foreign Language) (2)', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B3D159A00E79349BE050007F01000EAF', '12', '2.0')
('B2G260170', '海报设计与制作', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96AFD92D5AF5B1B3E0506F0A20034F41', '26', '1.0')
('B2G170381', '人工智能导论（全英文）', 'Introduction to Artificial Intelligence', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98EC72D48FD2862FE0506F0A2003607E', '17', '2.0')
('B2G080240', '经济学文献导读', 'Introduction to economics literature', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=964335410991FE7CE0506F0A20036AF6', '08', '2.0')
('B2F260110', '创意设计与生活', 'Creative Design and life', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F260110', '26', '2.0')
('B2F030120', '系统控制前沿', 'System Control Frontier', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F030120', '03', '1.0')
('B2G280111', 'Contemporary Chinese Foreign Policy and Its Global Governance Approach', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B77CAEAD73181443E050007F01002603', '28', '1.0')
('B2F200120', '知识产权法', 'Intellectual Property Law', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=99DC6749D4776B68E0506F0A200344DC', '20', '2.0')
('B2G050150', '现代战争中的隐身技术', 'Course of Stealth Technology in Modern War', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97C8701A6550356CE0506F0A200312B0', '05', '1.0')
('B2F100141', '生物医学影像漫谈', 'Discussion on Biomedical Image', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F100141', '10', '1.0')
('B2G110150', '世界经济500年', 'Global Economy since 1500', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=968F5479E54ABF9FE0506F0A20034970', '11', '1.0')
('B2F030160', '仿生智能与无人机', 'Bionic Intelligence and UAV', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F030160', '03', '1.0')
('B2G100270', '机器学习、深度学习导论及应用', 'Introduction to machine learning, deep learning, and related applications', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B29BFD779C641316E050007F01002242', '10', '2.0')
('B2G050350', '流体力学交叉前沿技术实验室课堂', 'the Laboratory cognition of frontier Fluid Mechanics', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B24CF26E548D3378E050007F010032E8', '05', '1.0')
('B2G280290', '戏剧中的哲学', 'Philosophy in Drama', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9737027F825D5375E0506F0A2003747F', '28', '1.0')
('B2F080010', '创新思维与精益创业实践', 'Innovative thinking and lean startup practices', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=C6FDBE442D3E099BE050007F010055B1', '08', '2.0')
('B2G050110', '现代大学概论', 'Overview of modern universities', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G050110', '05', '1.0')
('B2G020130', '通讯概论', 'Introduction to Communications ', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=969701811D29F138E0506F0A200308BA', '02', '1.0')
('B2F290340', '中国美术史', 'Chinese Art History', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B01CE9E1084B65DFE050007F01007555', '29', '2.0')
('B2G030190', '仿生智能计算', 'Bio-Inspired Computing', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=986DEEE5852F48DEE0506F0A2003557D', '03', '1.0')
('B2G110390', '认知心理学', '认知心理学', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A71AC5914DD845DEE050007F010066D2', '11', '2.0')
('B2G110410', '基础心理学', 'Foundations of Psychology', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B6A3E246EE6B82F7E050007F010071CB', '11', '2.0')
('B2F030110', '从弦弧近似到微积分', 'From?Hypotenuse-Arc?Approximation?to?Calculus', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F030110', '03', '1.0')
('B2G100150', '美容化妆品学', 'Beauty Cosmetics', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96E13393819AB1DBE0506F0A2003116E', '10', '1.0')
('B2G260160', '中国水墨画技法', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96A6FF4BF4B7AAC0E0506F0A20037795', '26', '1.0')
('B2G060260', '数字图像工程基础', 'Fundamentals of Digital Image Engineering ', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B2A1B5106085FEBFE050007F01007A86', '06', '1.0')
('B2G210011', '计算机导论（英文）', 'Introduction to Computers', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G210011', '21', '2.0')
('B2G170511', '超声成像系统', 'Ultrasound imaging systems', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=974547E05F74A526E0506F0A200331B4', '17', '1.0')
('B2G200150', '知识产权法与专利检索', 'Intellectual Property Law and Patent Search', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=99DC62A21A2CF1B1E0506F0A20034C00', '20', '1.0')
('B2G030260', '电子系统设计综合创新实践', '电子系统设计综合创新实践', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=99776F41E018CEBBE0506F0A200347E5', '03', '1.0')
